SampleGroup,BBID
,
K-119,K-0119
K-177,K-0177
K-309,K-0309
SLI-89,SLI-0089
SLI-117,SLI-117
SLI-141,SLI-141
SLI-167,SLI-167
SLI-184,SLI-184
K-38,K-0038
K-67,K-0067
K-83,K-0083
SLI-16,SLI-16
K-122,K-0122
K-204,K-0204
K-310,K-0310
,
SLI-120,SLI-120
SLI-151,SLI-151
SLI-169,SLI-169
SLI-185,SLI-185
K-39,K-0039
K-68,K-0068
K-84,K-0084
SLI-20,SLI-20
K-125,K-0125
K-220,K-0220
K-312,K-0312
SLI-96,SLI-96
,
SLI-154,SLI-154
SLI-170,SLI-170
SLI-203,SLI-203
K-49,K-0049
K-72,K-0072
K-85,K-0085
SLI-23,SLI-23
K-133,K-0133
K-290,K-0290
,
SLI-106,SLI-106
SLI-121,SLI-121
,
SLI-171,SLI-171
K-2,K-0002
K-53,K-0053
K-75,K-0075
K-86,K-0086
SLI-73,SLI-73
K-138,K-0138
,
K-316,K-0316
SLI-107,SLI-107
SLI-128,SLI-128
SLI-156,SLI-156
,
K-18,K-0018
K-57,K-0057
K-77,K-0077
K-88,K-0088
SLI-79,SLI-79
,
K-302,K-0302
K-322,K-0322
SLI-111,SLI-111
SLI-130,SLI-130
SLI-161,SLI-161
SLI-172,SLI-172
,
K-63,K-0063
K-78,K-0078
K-93,K-0093
SLI-84,SLI-84
K-140,K-0140
K-304,K-0304
K-327,K-0327
SLI-115,SLI-115
SLI-132,SLI-132
SLI-164,SLI-164
SLI-173,SLI-173
K-21,K-0021
,
K-82,K-0082
,
SLI-85,SLI-85
K-148,K-0148
K-307,K-0307
K-330,K-0330
SLI-116,SLI-116
SLI-138,SLI-138
SLI-166,SLI-166
SLI-177,SLI-177
K-37,K-0037
K-66,K-0066
,
K-103,K-0103
,
K-606,K-0606
K-653,K-0653
K-690,K-0690
K-353,K-0353
K-368,K-0368
K-393,K-0393
K-437,K-0437
K-483,K-0483
K-540,K-0540
K-554,K-0554
K-579,K-0579
K-334,K-0334
K-610,K-0610
K-665,K-0665
K-691,K-0691
,
K-370,K-0370
K-397,K-0397
K-458,K-0458
K-487,K-0487
K-543,K-0543
K-559,K-0559
K-580,K-0580
K-335,K-0335
K-611,K-0611
K-666,K-0666
K-695,K-0695
K-356,K-0356
,
K-402,K-0402
K-459,K-0459
K-489,K-0489
K-545,K-0545
K-560,K-0560
K-587,K-0587
K-340,K-0340
K-617,K-0617
K-669,K-0669
,
K-362,K-0362
K-375,K-0375
,
K-460,K-0460
K-505,K-0505
K-547,K-0547
K-562,K-0562
K-589,K-0589
K-341,K-0341
K-620,K-0620
,
K-696,K-0696
K-364,K-0364
K-377,K-0377
K-408,K-0408
,
K-513,K-0513
K-548,K-0548
K-570,K-0570
K-591,K-0591
K-348,K-0348
,
K-670,K-0670
K-700,K-0700
K-365,K-0365
K-378,K-0378
K-419,K-0419
K-461,K-0461
,
K-551,K-0551
K-571,K-0571
K-594,K-0594
K-349,K-0349
K-622,K-0622
K-673,K-0673
K-703,K-0703
K-366,K-0366
K-379,K-0379
K-429,K-0429
K-464,K-0464
K-522,K-0522
,
K-578,K-0578
,
K-352,K-0352
K-625,K-0625
K-688,K-0688
K-706,K-0706
K-367,K-0367
K-389,K-0389
K-432,K-0432
K-467,K-0467
K-536,K-0536
K-553,K-0553
,
K-601,K-0601
,
K-750,K-0750
K-774,K-0774
K-812,K-0812
K-844,K-0844
K-877,K-0877
K-931,K-0931
K-711,K-0711
,
K-775,K-0775
K-814,K-0814
K-845,K-0845
K-879,K-0879
K-954,K-0954
K-712,K-0712
K-755,K-0755
,
K-818,K-0818
K-847,K-0847
K-880,K-0880
K-726,K-0726
,
K-756,K-0756
K-780,K-0780
,
K-853,K-0853
K-887,K-0887
K-729,K-0729
,
K-757,K-0757
K-794,K-0794
K-826,K-0826
,
K-892,K-0892
K-735,K-0735
,
K-758,K-0758
K-795,K-0795
K-828,K-0828
K-872,K-0872
,
K-742,K-0742
K-763,K-0763
K-805,K-0805
K-833,K-0833
K-875,K-0875
K-903,K-0903
,
,
K-743,K-0743
K-772,K-0772
K-806,K-0806
K-837,K-0837
K-876,K-0876
K-930,K-0930
